id,parent_id,name_de,abbr_de,name_fr,abbr_fr,name_it,abbr_it,name_en,abbr_en
10000000,,Bundesrat,BR,Conseil fédéral,CF,Consiglio federale,CF,,
10000001,10000000,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",VBS,"Département fédéral de la défense, de la protection de la population et des sports",DDPS,"Dipartimento federale della difesa, della protezione della popolazione e dello sport",DDPS,,
10000025,10000000,Bundeskanzlei,BK,Chancellerie fédérale,ChF,Cancelleria federale,CaF,,
10000028,10000000,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,Département fédéral des affaires étrangères,DFAE,Dipartimento federale degli affari esteri,DFAE,Federal Department of Foreign Affairs,FDFA
10000029,10000000,Eidgenössisches Departement des Innern,EDI,Département fédéral de l'intérieur,DFI,Dipartimento federale dell'interno,DFI,,
10000030,10000000,Eidgenössisches Justiz- und Polizeidepartement,EJPD,Département fédéral de justice et police,DFJP,Dipartimento federale di giustizia e polizia,DFGP,,
10000031,10000000,Eidgenössisches Finanzdepartement,EFD,Département fédéral des finances,DFF,Dipartimento federale delle finanze,DFF,,
10000032,10000000,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",WBF,"Département fédéral de l'économie, de la formation et de la recherche",DEFR,"Dipartimento federale dell'economia, della formazione e della ricerca",DEFR,,
10000033,10000000,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,"Département fédéral de l'environnement, des transports, de l'énergie et de la communication",DETEC,"Dipartimento federale dell'ambiente, dei trasporti, dell'energia e delle comunicazioni",DATEC,,
10003466,10000001,Bundesamt für Landestopografie swisstopo,swisstopo,Office fédéral de topographie swisstopo,swisstopo,Ufficio federale di topografia swisstopo,swisstopo,,
10008678,10000001,Bundesamt für Sport,BASPO,Office fédéral du sport,OFSPO,Ufficio federale dello sport,UF SPO,,
10008679,10000001,Bundesamt für Bevölkerungsschutz,BABS,Office fédéral de la protection de la population,OFPP,Ufficio federale della protezione della popolazione,UFPP,,
10008884,10000001,Generalsekretariat VBS,GS-VBS,Secrétariat général DDPS,SG-DDPS,Segreteria generale DDPS,SG-DDPS,,
20004643,10000001,Verteidigung,Vtg,Défense,Def,Difesa,Dif,,
20005536,10000001,Bundesamt für Rüstung - armasuisse,ar,Office fédéral de l'armement-armasuisse,ar,Ufficio fed. dell'armamento - armasuisse,ar,,
20027226,10000001,Nachrichtendienst des Bundes,NDB,Service de renseignement de la Confédération,SRC,Servizio delle attività informative della Confederazione,SIC,,
20043376,10000001,Unabhängige Aufsichtsbehörde über die nachrichtendienstlichen Tätigkeiten,AB-ND,Autorité de surveillance indépendante des activités de renseignement,AS-Rens,Autorità di vigilanza indipendente sulle attività informative,AVI-AIn,,
60028959@11.05,10000001,BGRB Holding AG,BGRB,BGRB Holding AG,BGRB,BGRB Holding AG,BGRB,,
10002674,10000025,Bereich Bundesrat,BR,Secteur Conseil fédéral,BR,Settore Consiglio federale,BR,,
10002693,10000025,Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter,EDÖB,Préposé fédéral à la protection des données et à la transparence,PFPDT,Incaricato federale della protezione dei dati e della trasparenza,IFPDT,EDÖB,
10002695,10000025,Bereich Kommunikation und Strategie,KS,Secteur communication et stratégie,KS,Settore comunicazione e strategia,KS,,
10010826,10000025,Bereich Ressourcen,R,Secteur Ressources,R,Settore Risorse,R,,
10010833,10000025,Bereich Bundeskanzler,BK,Secteur Chancelier de la Confédération,BK,Settore Cancelliere della Confederazione,BK,,
20019927,10000025,Stab Bundeskanzler,Stab,Etat-major du Chancelier,Stab,Stato maggiore dei Cancelliere,Stab,,
20048177,10000025,Bereich Digitale Transformation und IKT-Lenkung,DTI,Secteur Transformation numérique et gouvernance de l’informatique,TNI,Settore Trasformazione digitale e governance delle TIC,TDT,,
10000530,10000028,Generalsekretariat EDA,GS-EDA,Secrétariat général DFAE,SG-DFAE,Segreteria generale DFAE,SG-DFAE,FDFA General Secretariat,FDFA-GS
10000532,10000028,Direktion für Völkerrecht,DV,Direction du droit international public,DDIP,Direzione del diritto internazionale pubblico,DDIP,Directorate of International Law,DIL
10000544,10000028,Direktion für Ressourcen,DR,Direction des ressources,DR,Direzione delle risorse,DR,Directorate for Resources,DR
10000572,10000028,Direktion für Entwicklung und Zusammenarbeit,DEZA,Direction du développement et de la coopération,DDC,Direzione dello sviluppo e della cooperazione,DSC,Swiss Agency for Development and Cooperation,SDC
20003168,10000028,Staatssekretariat EDA,STS-EDA,Secrétariat d'Etat DFAE,SEE-DFAE,Segreteria di Stato DFAE,SES-DFAE,FDFA State Secretariat,FDFA-STS
20028753,10000028,Konsularische Direktion,KD,Direction consulaire,DC,Direzione consolare,DC,Consular Directorate,CD
10002215,10000029,Eidgenössisches Büro für die Gleichstellung von Frau und Mann,EBG,Bureau fédéral de l'égalité entre femmes et hommes,BFEG,Ufficio federale per l'uguaglianza fra donna e uomo,UFU,,
10008653,10000029,Schweizerisches Bundesarchiv,BAR,Archives fédérales suisses,BAR,Archivio federale svizzero,BAR,,
10008671,10000029,Bundesamt für Lebensmittelsicherheit und Veterinärwesen,BLV,Office fédéral de la sécurité alimentaire et des affaires vétérinaires,BLV,Ufficio federale della sicurezza alimentare e di veterinaria,BLV,Federal Food Safety and Veterinary,
10008683,10000029,Bundesamt für Meteorologie und Klimatologie MeteoSchweiz,MeteoSchweiz,Office fédéral de météorologie et de climatologie MétéoSuisse,MétéoSuisse,Ufficio federale di meteorologia e climatologia,MeteoSvizzera,MeteoSchweiz,MeteoSwiss
10008684,10000029,Bundesamt für Gesundheit,BAG,Office fédéral de la santé publique,BAG,Ufficio federale della sanità pubblica,BAG,,
10008685,10000029,Bundesamt für Sozialversicherungen,BSV,Office fédéral des assurances sociales,OFAS,Ufficio federale delle assicurazioni sociali,UFAS,,
10008736,10000029,Bundesamt für Kultur,BAK,Office fédéral de la culture,OFC,Ufficio federale della cultura,UFC,,
10008740,10000029,Generalsekretariat,GS-EDI,Secrétariat général,SG-DFI,Segreteria generale,SG-DFI,,
10008742,10000029,Bundesamt für Statistik,BFS,Office fédéral de la statistique,OFS,Ufficio federale di statistica,UST,,
12040100@12.04,10000029,Schweizerisches Nationalmuseum,SNM,Musée National Suisse,MNS,Museo Nazionale Svizzero,MNS,,
12050100@12.05,10000029,Schweizer Kulturstiftung Pro Helvetia,Pro Helvetia,Fondation suisse pour la culture Pro Helvetia,Pro Helvetia,Fondazione svizzera per la cultura Pro Helvetia,Pro Helvetia,,
30000028@10.03,10000029,Swissmedic,,Swissmedic,,Swissmedic,,,
10008744,10000030,Bundesamt für Justiz,BJ,Office fédéral de la justice,BJ,Ufficio federale di giustizia,BJ,,
10008750,10000030,Schweizerisches Institut für Rechtsvergleichung,SIR,Institut suisse de droit comparé,ISDC,Istituto svizzero di diritto comparato,ISDC,,
10008843,10000030,Generalsekretariat EJPD,GS-EJPD,Secrétariat général SG-DFJP,SG-DFJP,Segreteria generale SG-DFGP,SG-DFGP,,
10009184,10000030,Bundesamt für Polizei,fedpol,Office fédéral de la Police,fedpol,Ufficio federale di polizia,fedpol,,
10009470,10000030,Informatik Service Center ISC-EJPD,ISC-EJPD,Centre de services informatiques CSI-DFJP,CSI-DFJP,Centro servizi informatici CSI-DFGP,CSI-DFGP,,
10009488,10000030,Eidgenössische Spielbankenkommission,ESBK,Commission fédérale des maisons de jeu,CFMJ,Commissione federale delle case da gioco,CFCG,,
12060100@12.06,10000030,Eidgenössisches Institut für Geistiges Eigentum,IGE,Institut Fédéral de la Propriété Intellectuelle,IPI,Istituto Federale della Proprietà Intellettuale,IPI,,
20008576,10000030,Staatssekretariat für Migration,SEM,Secrétariat d'Etat aux migrations,SEM,Segreteria di Stato della migrazione,SEM,,
46@11.07,10000030,Revisionsaufsichtsbehörde,Revisionsaufsichtsbehörde,Revisionsaufsichtsbehörde,Revisionsaufsichtsbehörde,Revisionsaufsichtsbehörde,Revisionsaufsichtsbehörde,,
